price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,in_polygon,finca_raiz_id
1250000000,cr 13 a 89 91,4.67365026473999,-74.0517425537109,"El Virrey, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta-bogota-chico/7964690,6,Excelente estado,3,111.0,111.0,9 a 15 años,2,2,786000.0,5.0,0,7964690
890000000,CARRERA 14 # 92- 67 CHICÓ NORTE,4.6759183,-74.0512339,"Chicó Navarra, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191493316,6,No reporta,2,210.0,210.0,más de 30 años,5,2,1200000.0,3.0,0,191493316
1365000000,Cl. 74 5-64,4.656324,-74.053535,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11026936,6,No reporta,3,195.0,195.0,No reporta,4,2,No reporta,3.0,0,11026936
155700000,"Avenida Calle 153 # 115-80 Suba, Bogotá D.C., Cundinamarca, Colombia",4.7637700040189,-74.098706245422,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191560419,3,No reporta,1,37.0,35.0,16 a 30 años,2,1,160000.0,4.0,0,191560419
2600000000,Diagonal 75 # 02 - 84,4.6554542998212,-74.050467825881,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191363462,6,No reporta,4,265.0,265.0,más de 30 años,2,3,1200000.0,5.0,0,191363462
650000000,KR 7 127C- 07,4.705735,-74.028877,"Bosques del Marques, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11025675,6,No reporta,2,110.4,110.4,16 a 30 años,2,2,823900.0,3.0,0,11025675
1890000000,Cl. 131 78a-61,4.724511,-74.07779,"Cerros de Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11025460,6,No reporta,4,213.0,213.0,9 a 15 años,3,3,1360600.0,2.0,0,11025460
500000000,Calle 131A # 55A - 48,4.72077001106,-74.064499984525,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191379977,5,No reporta,2,98.0,98.0,más de 30 años,3,2,463000.0,2.0,0,191379977
1150000000,CALLE 127 87-51,4.7135382209627,-74.088803529739,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191473274,6,No reporta,5,158.0,158.0,1 a 8 años,3,2,700000.0,5.0,0,191473274
650000000,CALLE 124   20- 76,4.7043919,-74.051466,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191297726,5,No reporta,2,95.0,95.0,16 a 30 años,3,2,650000.0,No reporta,0,191297726
2159000000,Calle 75 # 3 - 15,4.656539989941,-74.051309970231,"Los rosales, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10798120,6,No reporta,4,250.0,250.0,16 a 30 años,3,4,2028000.0,4.0,0,10798120
490000000,Carrera 50 #104 B -77,4.693941005829,-74.061173961526,"Pasadena, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11094527,4,No reporta,3,101.0,101.0,16 a 30 años,2,2,550000.0,5.0,0,11094527
570000000,"Avenida Carrera 68 #5 - 75, Bogotá, Colombia",4.6268376,-74.1237574,"La pradera, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191482085,4,No reporta,2,79.88,64.88,menor a 1 año,3,1,286000.0,1.0,0,191482085
480000000,Carrera 17 #175 -82,4.755929999405,-74.038320031966,"La alameda Centro, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191661676,4,No reporta,2,92.0,92.0,9 a 15 años,3,1,355000.0,3.0,0,191661676
