price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,property_type,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,remodeled
385000000,Av Calle 116 #50 A -9,4.700247004954,-74.060755034006,"Alhambra, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11061134,5,Apartamento,,2.0,87.00  m2,,más de 30 años,3.0,1.0,"380,000.00",,
420000000,CARRERA 7C   145- 15,4.72151107587176,-74.0293685227935,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10883048,4,Apartamento,,2.0,90.00  m2,90.00  m2,más de 30 años,2.0,1.0,"455,000.00",,
820000000,"Santa Barbara, Bogotá, Colombia",4.7023363,-74.0520439,"Santa barbara occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191659810,6,Apartamento,,3.0,99.00  m2,,1 a 8 años,2.0,2.0,,6.0,
900000000,KR 14A # 127A - 36,4.7061689907806,-74.04132880741,"La carolina, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191055539,6,Apartamento,,3.0,175.58  m2,175.58  m2,más de 30 años,3.0,3.0,"1,212,000.00",5.0,
430000000,"Mazuren 4 conjunto Residencial, Calle 152, Bogotá, Colombia",4.7378969,-74.0553714,"Centro Comercial Mazuren, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191620553,4,Apartamento,,2.0,89.00  m2,,16 a 30 años,3.0,1.0,"320,000.00",1.0,
325000000,"Calle 78 #78-19, Bogotá, Colombia",4.6979443,-74.0962795,"Engativá, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10603101,3,Apartamento,,2.0,63.00  m2,63.00  m2,menor a 1 año,3.0,1.0,,3.0,
180000000,"Carrera 114a #147a-54, Bogotá, Colombia",4.7515276,-74.1021348,"Almendros, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191575710,3,Apartamento,,1.0,58.00  m2,58.00  m2,16 a 30 años,3.0,,"62,000.00",3.0,
165000000,CALLE 127 No.  112 -  30,4.7142805,-74.0879013,"Nueva tibabuyes, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191535536,2,Apartamento,,1.0,52.00  m2,52.00  m2,más de 30 años,3.0,,,,
300000000,"Carrera 49 #124 - 71, Bogotá, Colombia",4.7060418,-74.0577231,"El Batán, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191631705,5,Apartamento,,1.0,40.00  m2,40.00  m2,9 a 15 años,1.0,1.0,"328,500.00",5.0,
625000001,"Carrera 19c #85-44, Bogotá, Colombia",4.6724757,-74.0585708,"El Virrey, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191645610,5,Apartamento,,2.0,68.00  m2,68.00  m2,9 a 15 años,2.0,2.0,"862,000.00",2.0,
435000000,Carrera 77 #18-35,4.6545782,-74.1291974,"La felicidad, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11058351,4,Apartamento,,2.0,65.00  m2,63.00  m2,9 a 15 años,3.0,1.0,"260,000.00",11.0,
430000000,"Cl. 145a #13a-77, Bogotá, Colombia",4.7265159,-74.0401563,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191559337,4,Apartamento,,2.0,101.00  m2,101.00  m2,16 a 30 años,3.0,1.0,"590,000.00",6.0,
1290000000,Calle 106 # 19A-26 apto 303,4.6932271,-74.0524414,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191383080,6,Apartamento,,3.0,174.00  m2,174.00  m2,16 a 30 años,3.0,2.0,"950,000.00",3.0,
310000000,"Calle 146 #21-40, Bogotá, Colombia",4.7289017,-74.0484793,"Los cedros, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191149511,4,Apartamento,,2.0,66.00  m2,66.00  m2,más de 30 años,2.0,1.0,"350,000.00",2.0,
435000000,"Conjunto Residencial Arrayanes De Sauzalito, Carrera 69d #24-15, Bogotá, Colombia",4.6581796,-74.1129514,"La esperanza norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191522425,4,Apartamento,,2.0,69.88  m2,65.04  m2,más de 30 años,3.0,1.0,,4.0,
630000000,"Cra. 22 #122-31, Bogotá, Colombia",4.7030924,-74.0526307,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10330461,5,Apartamento,,3.0,113.00  m2,113.00  m2,16 a 30 años,2.0,2.0,"650,000.00",1.0,
210000000,"Bochica IV, Calle 86, Bogotá, Colombia",4.7172803,-74.1087615,"Engativá, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191386076,3,Apartamento,,1.0,52.00  m2,48.00  m2,16 a 30 años,3.0,,"135,000.00",,
630000000,Calle 42 # 4-20,4.6291846,-74.063227,"Zona chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191385402,4,Apartamento,,3.0,77.00  m2,77.00  m2,más de 30 años,2.0,,"245,000.00",2.0,
340000000,"Carrera 58 #129-15, Bogota, Colombia",4.7183289,-74.0689203,"Ciudad jardin norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10821529,3,Apartamento,,2.0,96.00  m2,96.00  m2,más de 30 años,3.0,1.0,"546,000.00",5.0,
1250000000,CALLE 131A   9A-83,4.71052360534668,-74.0351104736328,"Recodo Del Country, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/7018316,6,Apartamento,Buen estado,3.0,217.00  m2,217.00  m2,más de 30 años,3.0,2.0,"1,350,000.00",11.0,
885000000,"Avenida Carrera 19 #131-4, Bogotá, Colombia",4.7151762,-74.0473895,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10934229,5,Apartamento,,4.0,177.00  m2,177.00  m2,más de 30 años,3.0,2.0,"780,000.00",3.0,
510000000,"Carrera 23 #134A-09, Bogota, Colombia",4.7199619,-74.0508456,"Alcala, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10164101,5,Apartamento,,3.0,85.00  m2,85.00  m2,9 a 15 años,2.0,2.0,"805,000.00",3.0,
320000000,Carrera 81F #10B - 40,4.649297486544,-74.143225692415,"El vergel, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191650057,3,Apartamento,,2.0,63.00  m2,63.00  m2,1 a 8 años,3.0,1.0,"248,000.00",9.0,
539000000,"Solarium de Pontevedra, Calle 86A, Bogotá, Colombia",4.6935071,-74.0843963,"Engativá, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10908292,4,Apartamento,,2.0,97.00  m2,97.00  m2,9 a 15 años,3.0,1.0,"420,000.00",1.0,
290000000,"Cl. 159 #19b-26, Bogotá, Colombia",4.7391691,-74.0450071,"Orquideas, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191535098,4,Apartamento,,2.0,62.00  m2,62.00  m2,16 a 30 años,3.0,1.0,,2.0,
376000000,"Carrera 22 #118-61, Bogotá, Colombia",4.7008437,-74.0531615,"Santa barbara occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191579769,6,Apartamento,,2.0,52.00  m2,52.00  m2,16 a 30 años,1.0,1.0,"234,000.00",1.0,
360000000,"Belmira, Bogotá, Colombia",4.7186876,-74.0307467,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191635833,4,Apartamento,,2.0,55.00  m2,55.00  m2,9 a 15 años,2.0,1.0,"459,000.00",7.0,
580000000,Calle 134 A #17-92,4.7201945858011,-74.045306730615,"El contador, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191365812,5,Apartamento,,2.0,92.00  m2,82.00  m2,9 a 15 años,2.0,2.0,"562,000.00",2.0,
820000000,"Calle 119 #11b-54, Bogotá, Colombia",4.6987546,-74.0378957,"Santa barbara central, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191114392,6,Apartamento,,4.0,158.00  m2,,más de 30 años,3.0,2.0,"913,000.00",3.0,
960000000,"Calle 131 #19-31, Bogotá, Colombia",4.7141435,-74.0482344,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191372161,5,Apartamento,,4.0,135.00  m2,,1 a 8 años,3.0,2.0,"937,000.00",8.0,
450000000,"Cra. 8 #127c-39, Bogotá, Colombia",4.7060724,-74.0322732,"Altos de Bella Suiza, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191459017,5,Apartamento,,2.0,88.00  m2,82.00  m2,9 a 15 años,2.0,2.0,"549,000.00",4.0,
316000000,"Gran Granada, Calle 77b, Bogotá, Colombia",4.7241956,-74.1365272,"Gran granada, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191576600,4,Apartamento,,2.0,70.00  m2,,1 a 8 años,3.0,1.0,"238,000.00",5.0,
1650000000,"LaReserve, Carrera 18 C, Bogotá, Colombia",4.7006977,-74.0486391,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191648289,5,Apartamento,,3.0,153.00  m2,153.00  m2,1 a 8 años,3.0,3.0,"1,200,000.00",,
650000000,"Carrera 50 #103b-86, Bogotá, Colombia",4.6929195,-74.0608673,"Estoril, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191476763,5,Apartamento,,2.0,127.00  m2,120.00  m2,más de 30 años,3.0,2.0,"583,000.00",4.0,
1250000000,Calle 74 # 4-26,4.655461124385,-74.052619941807,"Los rosales, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191298816,6,Apartamento,,4.0,176.00  m2,176.00  m2,16 a 30 años,3.0,3.0,"1,350,000.00",2.0,
700000000,"Colina campestre, Bogotá, Colombia",4.7383981,-74.0593581,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191416199,5,Apartamento,,2.0,107.00  m2,107.00  m2,9 a 15 años,2.0,2.0,,,
413100000,Carrera 17 # 173 - 52,4.754525862986,-74.037484272401,"La uribe, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191622583,4,Apartamento,,2.0,70.00  m2,70.00  m2,9 a 15 años,3.0,1.0,,10.0,
280000000,"Transversal 74 #11a-35, Bogotá, Colombia",4.6447182,-74.1368768,"Castilla, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191652096,3,Apartamento,,2.0,55.00  m2,,16 a 30 años,3.0,1.0,"160,000.00",4.0,
2650000000,"Calle 97 #19a-33, Bogotá, Colombia",4.6840501,-74.0537879,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191604157,6,Apartamento,,3.0,205.00  m2,200.00  m2,1 a 8 años,2.0,3.0,,8.0,
565000000,"Calle 64 # 4 - 72 apto 203 Edificio Palmeras,",4.6345839,-74.0615901,"Zona chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/7984041,4,Apartamento,Buen estado,2.0,94.00  m2,94.00  m2,más de 30 años,3.0,1.0,"450,000.00",5.0,
430000000,KR 82 # 22A - 35,4.6647915791655,-74.127789028591,"Fontibon, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191210647,4,Apartamento,,2.0,84.00  m2,82.00  m2,9 a 15 años,3.0,1.0,"400,000.00",4.0,
679400000,CL 169B # 74A - 85,4.755873812996,-74.067490287727,"Altos de la colina, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191128066,6,Apartamento,,3.0,108.00  m2,,1 a 8 años,3.0,2.0,"480,000.00",3.0,
285000000,"Calle 75 #85-15, Bogotá, Colombia",4.6987518,-74.1033255,"La soledad norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191253841,3,Apartamento,,2.0,58.00  m2,55.00  m2,menor a 1 año,3.0,1.0,"90,000.00",3.0,
